id,channel_name,freq,pol,satellite,network_name,provider_mapped,provider_final
1,Movistar Plus+ HD,10758,1,Astra1,,Movistar+,Movistar+
2,LALIGA TV HYPERMOTION,10758,1,Astra1,,Movistar+,Movistar+
3,Unname,10758,1,Astra1,,Movistar+,Movistar+
4,DAZN LALIGA 2 HD,10758,1,Astra1,,Movistar+,Movistar+
5,M+LCAMPEON2,10758,1,Astra1,,Movistar+,Movistar+
6,M+LCAMPEON3,10758,1,Astra1,,Movistar+,Movistar+
7,TEST DZ5.,10758,1,Astra1,,Movistar+,Movistar+
8,Unname,10758,1,Astra1,,Movistar+,Movistar+
9,MEZZO LIVE,10758,1,Astra1,,Movistar+,Movistar+
10,M+ LALIGA 3 HD,10758,1,Astra1,,Movistar+,Movistar+
11,Unname,10758,1,Astra1,,Movistar+,Movistar+
12,Unname,10758,1,Astra1,,Movistar+,Movistar+
13,Unname,10758,1,Astra1,,Movistar+,Movistar+
14,M+ VAMOS 2 HD,10758,1,Astra1,,Movistar+,Movistar+
15,ANIXE HD,10773,0,Astra1,,Movistar+,Movistar+
16,QVC HD,10773,0,Astra1,,Movistar+,Movistar+
17,HSE HD,10773,0,Astra1,,Movistar+,Movistar+
18,ShopLC HD,10773,0,Astra1,,Movistar+,Movistar+
19,WELT HD,10773,0,Astra1,,Movistar+,Movistar+
20,Genius Plus,10773,0,Astra1,,Movistar+,Movistar+
21,WELT HD Austria,10773,0,Astra1,,Movistar+,Movistar+
22,ALQUILER 1,10788,1,Astra1,,Movistar+,Movistar+
23,Unname,10788,1,Astra1,,Movistar+,Movistar+
24,Unname,10788,1,Astra1,,Movistar+,Movistar+
25,DAZN LALIGA 2,10788,1,Astra1,,Movistar+,Movistar+
26,MULTIDEPORTE,10788,1,Astra1,,Movistar+,Movistar+
27,Unname,10788,1,Astra1,,Movistar+,Movistar+
28,Unname,10788,1,Astra1,,Movistar+,Movistar+
29,ALQUILER XY,10788,1,Astra1,,Movistar+,Movistar+
