Nom de la chaîne,Satellite,Fréquence,Polarisation,Symbol Rate,Type Service,Type Vidéo
.,Astra1,10964,0,22000,0,27
.,Astra1,10964,0,22000,0,27
.,Astra1,10964,0,22000,0,27
.,Astra1,12148,0,27500,0,2
.,Astra1,12402,1,29700,0,27
.1.,Astra1,11421,0,22000,0,2
.2.,Astra1,11421,0,22000,0,2
.3.,Astra1,11421,0,22000,0,2
1-2-3.tv,Astra1,12460,0,27500,0,2
1-2-3.tv HD,Astra1,10803,0,22000,0,27
13th Street,Astra1,11992,0,27500,0,27
1ª FEDERACION,Astra1,11097,1,22000,0,2
1ª FEDERACION HD,Astra1,10818,1,22000,0,27
24 HORAS,Astra1,11156,1,22000,0,2
3+,Astra1,11421,0,22000,0,27
3sat HD,Astra1,11347,1,22000,0,27
3sat SD,Astra1,11954,0,27500,0,2
4MEDIATHEK,Astra1,12663,0,22000,0,27
4mediathek,Astra1,11671,0,22000,0,27
6PLAY,Astra1,12363,1,27500,0,2
6TER,Astra1,12402,1,29700,0,27
A LA UNE,Astra1,11895,1,29700,0,27
AB1,Astra1,12285,1,29700,0,27
AB3,Astra1,12515,0,22000,0,27
ACTION,Astra1,12285,1,29700,0,27
ALQUILER,Astra1,10847,1,22000,0,2
ALQUILER 1,Astra1,10788,1,22000,0,2
ALQUILER HD,Astra1,10906,1,22000,0,27
ALQUILER X,Astra1,11097,1,22000,0,2
ALQUILER XX,Astra1,11097,1,22000,0,2
ALQUILER XY,Astra1,10788,1,22000,0,2
ALT_Universal TV,Astra1,11798,0,27500,0,27
ANIMAUX,Astra1,12285,1,29700,0,27
ANIXE HD,Astra1,10773,0,22000,0,27
ANIXE+,Astra1,12460,0,27500,0,27
ANTENA 3,Astra1,11156,1,22000,0,2
ARAGON TV INT,Astra1,11318,1,22000,0,2
ARD alpha HD,Astra1,11053,0,22000,0,27
ARD-Test-1,Astra1,11053,0,22000,0,27
ARD-Test-R,Astra1,11053,0,22000,0,27
ARTE,Astra1,11895,1,29700,0,27
ASSOCIATION MATERIEL,Astra1,12363,1,27500,0,27
ATV HD,Astra1,11244,0,22000,0,27
ATV2 HD,Astra1,11244,0,22000,0,27
AUTOMOTO la chaine,Astra1,12285,1,29700,0,27
AXN,Astra1,11318,1,22000,0,2
AXN MOVIES,Astra1,11097,1,22000,0,2
